                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6717,                 4.3914,                 1.7269,                0.25416,                0.32195,                0.19309,                 0.0766,                 1.8048,                  4.496,                 1.9999,             0.00066376,             0.00066376,             0.00066376
                      2,                 1.7836,                 4.2068,                 1.8495,                0.31742,                0.22195,                0.15937,                0.05733,                 1.9992,                 4.1119,                 2.0773,              0.0013173,              0.0013173,              0.0013173
                      3,                 1.9306,                  3.897,                 2.0016,                0.53424,                0.02439,                0.15617,                0.04886,                 1.9925,                  3.766,                 2.1182,              0.0019575,              0.0019575,              0.0019575
                      4,                 1.9587,                 3.7484,                 2.0194,                 0.2182,                0.26829,                0.15781,                0.04624,                 2.1285,                 3.6775,                 2.1727,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0325,                  3.312,                 2.0723,                 0.1251,                0.20488,                0.09255,                0.03487,                 2.0363,                  3.426,                 2.1526,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.0451,                 3.2547,                 2.0467,                0.22787,                0.19512,                0.15216,                0.05145,                 2.1107,                 3.6004,                 2.3632,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.0422,                 3.1378,                 2.0882,                0.26959,                0.17317,                0.15385,                0.05513,                 2.1504,                 3.0768,                 2.1991,               0.001901,               0.001901,               0.001901
                      8,                 2.0104,                 2.9463,                 2.0322,                0.23455,                0.30045,                0.19196,                0.07056,                 1.9844,                 2.8189,                 2.0508,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.0168,                 2.8929,                 2.0196,                0.23276,                0.39756,                 0.1864,                 0.0674,                  1.992,                 2.7392,                 2.0864,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.0019,                 2.8263,                 2.0005,                  0.339,                0.33023,                0.28552,                0.10929,                 1.9106,                 2.4175,                 2.0015,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.8726,                 2.7018,                   1.89,                0.30523,                0.30244,                0.26967,                0.11333,                 1.8612,                 2.5385,                 1.9253,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.9508,                 2.7576,                 1.9326,                 0.3038,                0.29512,                0.24659,                0.11427,                 1.8306,                 2.4892,                 1.8886,               0.001802,               0.001802,               0.001802
                     13,                 1.8933,                  2.861,                 1.9079,                0.47962,                0.28537,                0.31843,                0.12972,                 1.8314,                  2.397,                 1.8682,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.8713,                 2.7817,                 1.8672,                0.26037,                0.31707,                0.21694,                0.08522,                 1.8846,                 2.5027,                 1.9304,              0.0017624,              0.0017624,              0.0017624
                     15,                  1.883,                 2.8428,                 1.8897,                0.32191,                0.32195,                  0.259,                0.10557,                 1.8538,                 2.4792,                 1.9472,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.8973,                 2.7282,                 1.9459,                0.30354,                0.34761,                0.24979,                0.10555,                 1.8768,                 2.6114,                 1.9868,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.8857,                   2.65,                 1.9129,                0.29297,                0.33659,                0.24455,                0.09796,                  1.781,                 2.4405,                 1.9459,               0.001703,               0.001703,               0.001703
                     18,                 1.8518,                 2.6804,                 1.9402,                0.38264,                0.36098,                0.29014,                0.11637,                 1.8684,                 2.3736,                 1.9609,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.9057,                 2.6561,                  1.919,                0.34256,                0.37073,                0.29349,                0.13121,                 1.8214,                 2.4686,                 1.9206,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.8324,                 2.6655,                  1.844,                0.28148,                0.40976,                0.31817,                0.12745,                 1.7581,                 2.2502,                 1.8521,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.871,                  2.648,                 1.8442,                0.35891,                0.39756,                0.32499,                0.13409,                 1.8294,                 2.3704,                 1.9008,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.8239,                 2.6652,                 1.8321,                0.37947,                0.40976,                0.36581,                0.15021,                 1.7125,                 2.2759,                 1.8315,               0.001604,               0.001604,               0.001604
                     23,                 1.7558,                 2.5381,                 1.7945,                0.43094,                0.36386,                 0.3441,                0.14459,                 1.8064,                 2.2337,                 1.8712,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.7671,                 2.5427,                 1.7947,                0.32158,                0.35854,                0.30859,                 0.1368,                 1.7508,                  2.225,                 1.8246,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.8161,                 2.6502,                 1.8393,                0.29452,                0.37561,                 0.2741,                0.11634,                 1.7687,                 2.3455,                 1.8354,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.7675,                 2.5085,                 1.8164,                0.39129,                0.45122,                0.37881,                0.17169,                 1.7031,                 2.0658,                 1.7754,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.7675,                 2.5588,                 1.8158,                0.46859,                0.39268,                 0.3788,                0.17577,                 1.6534,                 2.1696,                 1.7807,               0.001505,               0.001505,               0.001505
                     28,                  1.776,                  2.451,                 1.8399,                0.44802,                0.40244,                0.39694,                0.19157,                 1.6749,                 2.0749,                 1.7884,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.8046,                 2.3567,                 1.8143,                0.30504,                0.39289,                0.28587,                0.13712,                 1.7291,                  2.225,                  1.831,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.7431,                 2.3439,                 1.7932,                0.46759,                0.41463,                0.42721,                0.19563,                 1.6638,                 2.0297,                  1.754,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.6946,                 2.4153,                 1.7375,                0.49984,                0.44363,                 0.4532,                0.21248,                 1.6358,                 2.0387,                 1.7545,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.6512,                 2.3309,                 1.7183,                0.47499,                0.41044,                0.41594,                 0.1996,                 1.6336,                 2.0178,                 1.7492,               0.001406,               0.001406,               0.001406
                     33,                 1.7361,                 2.3484,                 1.8178,                 0.4511,                0.43415,                0.43123,                 0.2021,                 1.6137,                 2.0196,                 1.7085,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.7574,                 2.2893,                 1.7673,                 0.4811,                0.44322,                0.43555,                0.21422,                 1.6016,                 2.1136,                 1.6911,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.7697,                 2.5055,                 1.7822,                0.49955,                0.37317,                0.42653,                0.21536,                 1.5478,                 2.0111,                 1.6862,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.7021,                 2.2718,                   1.71,                0.46218,                0.36341,                 0.4042,                0.20379,                 1.5352,                 2.0718,                 1.6358,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.5898,                 2.3118,                 1.6334,                0.51273,                0.44146,                0.45349,                0.22338,                 1.6307,                  2.029,                 1.6729,               0.001307,               0.001307,               0.001307
                     38,                  1.692,                 2.3354,                 1.7241,                0.47871,                0.42195,                0.44898,                0.22143,                 1.5828,                 1.9869,                 1.6721,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6283,                 2.2873,                 1.6664,                0.51237,                0.43659,                0.47113,                0.24056,                 1.5573,                 1.9756,                  1.626,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6983,                 2.3006,                 1.7202,                0.45368,                0.49512,                0.45558,                0.21779,                 1.5214,                 1.9832,                 1.5948,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6191,                 2.2401,                 1.6797,                0.53755,                0.43415,                0.47971,                0.24626,                 1.5748,                  1.907,                 1.6545,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6759,                  2.222,                 1.7531,                0.55129,                0.47047,                0.49694,                0.25488,                 1.5254,                 1.9169,                 1.6115,               0.001208,               0.001208,               0.001208
                     43,                 1.6118,                 2.1873,                 1.6911,                0.53338,                0.53415,                0.51608,                0.26369,                 1.5382,                 1.8818,                 1.6398,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6622,                 2.2075,                  1.718,                0.51468,                0.52683,                0.52454,                0.25735,                  1.524,                 1.8244,                 1.6304,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5919,                 2.1803,                 1.6799,                0.57561,                0.42927,                0.51078,                0.26195,                 1.5096,                 1.9297,                 1.6371,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.6083,                 2.1197,                 1.6887,                0.59998,                 0.4561,                0.52789,                0.27954,                 1.4571,                 1.7904,                   1.57,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5599,                 2.0777,                 1.6437,                 0.5488,                0.48537,                0.48489,                0.24366,                  1.531,                 1.9567,                  1.663,               0.001109,               0.001109,               0.001109
                     48,                  1.608,                 2.1609,                 1.6985,                0.48336,                0.47237,                0.49818,                0.25974,                 1.4537,                 1.9599,                 1.5813,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5467,                 2.1318,                 1.6433,                0.56952,                0.52439,                0.55388,                0.29924,                 1.4836,                 1.7646,                 1.5936,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.4956,                 2.1846,                 1.5666,                0.61367,                0.47267,                0.55545,                0.31099,                 1.4767,                 1.7666,                  1.576,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5298,                 2.1568,                 1.6126,                  0.589,                0.51463,                0.57141,                0.30375,                 1.4449,                 1.7452,                 1.5559,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5441,                 2.0746,                 1.6313,                0.53523,                0.46585,                0.51444,                0.27534,                 1.4506,                 1.7944,                 1.5712,                0.00101,                0.00101,                0.00101
                     53,                  1.483,                 2.1032,                 1.5866,                0.52423,                 0.5122,                0.53515,                 0.2862,                 1.4243,                 1.7581,                  1.561,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5378,                 2.0294,                 1.6135,                0.53337,                0.45366,                 0.4821,                0.24409,                 1.4051,                 1.9561,                 1.5484,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5141,                 2.0962,                 1.6221,                0.53523,                0.49024,                0.54471,                0.28422,                 1.4693,                 1.7778,                 1.5868,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5842,                 2.1478,                 1.6421,                0.63889,                 0.4833,                0.56959,                0.30457,                 1.4233,                  1.695,                 1.5461,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.5334,                 2.1331,                 1.6384,                0.58177,                0.50976,                0.55924,                0.31824,                 1.3662,                  1.739,                 1.5321,               0.000911,               0.000911,               0.000911
                     58,                  1.529,                 2.0341,                 1.6335,                0.61438,                 0.5439,                0.58508,                0.32556,                 1.3647,                 1.6405,                 1.5213,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5194,                 2.0084,                 1.6042,                0.59894,                0.56585,                0.60113,                 0.3385,                 1.3288,                 1.6329,                 1.4806,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5298,                 2.0106,                 1.6237,                0.63215,                0.55122,                0.61944,                0.35551,                 1.3489,                 1.6306,                 1.5086,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.5196,                 1.9402,                  1.636,                0.62084,                0.55366,                0.61295,                0.34459,                 1.3675,                 1.5951,                 1.5294,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4791,                 1.9926,                 1.5813,                0.60268,                0.55122,                0.58663,                 0.3334,                 1.3445,                 1.5537,                 1.5091,               0.000812,               0.000812,               0.000812
                     63,                 1.4853,                 2.0655,                 1.6167,                0.65623,                0.49756,                0.59195,                0.32659,                 1.4041,                 1.6324,                 1.5574,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4366,                 2.0272,                 1.5385,                 0.6392,                0.54013,                0.61403,                0.33639,                 1.3446,                 1.6026,                 1.5008,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4969,                 1.9682,                 1.5943,                0.62854,                0.54634,                0.60282,                0.33941,                 1.3199,                 1.6194,                 1.4792,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.4355,                 1.9388,                 1.5596,                0.67915,                0.57317,                0.64686,                0.37878,                  1.317,                  1.584,                 1.4723,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4432,                 1.9601,                 1.5811,                0.69466,                0.55122,                0.64234,                0.37453,                 1.3235,                 1.5441,                 1.4753,               0.000713,               0.000713,               0.000713
                     68,                 1.5165,                 1.9124,                 1.6062,                 0.6496,                0.56067,                0.61925,                0.34761,                 1.3469,                 1.5216,                 1.4897,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4716,                 1.8625,                 1.5893,                0.66728,                0.54786,                0.64324,                0.35618,                 1.3598,                 1.6024,                 1.4916,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.4448,                 1.9192,                 1.5639,                0.59888,                0.57073,                0.62347,                0.36288,                 1.3224,                 1.5501,                 1.4617,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.4933,                 1.8628,                 1.6113,                0.63605,                0.57561,                0.64414,                0.38245,                 1.2649,                 1.5161,                 1.4307,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.3773,                 1.8783,                 1.4966,                0.64278,                 0.5878,                0.65108,                 0.3793,                 1.3105,                 1.5196,                 1.4543,               0.000614,               0.000614,               0.000614
                     73,                 1.4758,                 1.9178,                 1.5729,                0.68507,                 0.5571,                0.65065,                0.37733,                 1.2785,                 1.5538,                 1.4197,              0.0005942,              0.0005942,              0.0005942
                     74,                  1.409,                 1.8456,                 1.5259,                0.62518,                0.60732,                0.65581,                0.39024,                 1.2842,                  1.488,                 1.4331,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.407,                 1.8871,                  1.503,                 0.6118,                0.61951,                0.66862,                0.39378,                 1.2558,                  1.458,                 1.4168,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.4502,                 1.9392,                  1.592,                0.64709,                0.61715,                0.67127,                0.40403,                 1.2215,                 1.4762,                 1.4074,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.4013,                 1.7659,                 1.5411,                0.64162,                0.61463,                0.65229,                0.40088,                 1.2082,                 1.4477,                 1.3962,               0.000515,               0.000515,               0.000515
                     78,                 1.4028,                 1.7664,                 1.5412,                0.56676,                 0.6439,                0.62112,                0.36989,                 1.2566,                   1.57,                 1.4233,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4148,                 1.8063,                 1.5472,                0.64565,                 0.6122,                0.66648,                0.40894,                 1.2232,                 1.4313,                 1.3931,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.3696,                 1.7877,                 1.5056,                0.70377,                0.56829,                0.66908,                0.41384,                  1.198,                 1.4347,                 1.3746,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.3558,                 1.8298,                  1.487,                0.70558,                0.62683,                 0.7023,                0.43062,                  1.214,                 1.4356,                 1.3894,              0.0004358,              0.0004358,              0.0004358
