                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6721,                 2.4089,                 1.6298,                0.30216,                 0.2737,                0.23583,                0.11194,                 1.7205,                 2.2269,                 1.7631,             0.00055543,             0.00055543,             0.00055543
                      2,                  1.826,                 2.2662,                 1.7684,                0.38482,                0.34022,                0.29801,                0.13575,                 1.7902,                   2.03,                 1.8134,              0.0011001,              0.0011001,              0.0011001
                      3,                 1.8204,                 2.1894,                 1.7806,                0.34931,                0.30307,                0.25284,                0.11787,                  1.801,                 1.9535,                 1.8012,              0.0016338,              0.0016338,              0.0016338
                      4,                 1.7816,                 2.1314,                 1.7528,                0.35497,                0.30475,                0.26708,                0.13006,                  1.667,                 1.8174,                 1.6934,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.7267,                 2.0605,                 1.7236,                 0.4354,                0.36869,                0.35025,                0.16424,                 1.6175,                 1.7515,                  1.658,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.6848,                 1.9534,                 1.6879,                0.46046,                0.42194,                 0.3837,                0.18791,                 1.5442,                 1.6329,                 1.5976,               0.001601,               0.001601,               0.001601
                      7,                 1.6521,                  1.874,                 1.6507,                0.52232,                0.43371,                0.41697,                0.20417,                 1.5387,                 1.6294,                 1.5659,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.6235,                 1.8046,                 1.6198,                0.49754,                0.43858,                0.43102,                0.21713,                 1.5098,                 1.4867,                 1.5441,               0.001568,               0.001568,               0.001568
                      9,                 1.5894,                 1.7555,                 1.6012,                0.43529,                0.42876,                 0.4091,                0.20534,                  1.503,                 1.4561,                 1.5479,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.5599,                 1.7219,                 1.5711,                0.57269,                0.46701,                0.48895,                0.25709,                 1.4332,                 1.4476,                 1.4857,               0.001535,               0.001535,               0.001535
                     11,                 1.5703,                  1.706,                 1.5754,                0.51948,                0.44523,                0.45221,                0.23381,                   1.43,                 1.3701,                 1.5164,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.5245,                 1.6574,                  1.551,                 0.5531,                0.50096,                0.51289,                0.25835,                 1.3961,                 1.2947,                 1.4502,               0.001502,               0.001502,               0.001502
                     13,                 1.5094,                 1.6078,                 1.5382,                0.57189,                0.42042,                0.47532,                0.25236,                 1.3842,                 1.3577,                 1.4471,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.4943,                 1.6005,                 1.5292,                0.51901,                0.41606,                0.45441,                0.24291,                 1.3839,                 1.3123,                 1.4517,               0.001469,               0.001469,               0.001469
                     15,                  1.478,                  1.564,                 1.5082,                0.59429,                0.46951,                0.52336,                0.27831,                 1.3507,                 1.2486,                 1.4218,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.4729,                 1.5319,                 1.5044,                0.56564,                0.50526,                0.52814,                0.28262,                 1.3486,                 1.2355,                 1.4037,               0.001436,               0.001436,               0.001436
                     17,                 1.4381,                 1.5103,                  1.489,                0.56798,                0.49418,                 0.5451,                0.29411,                 1.3036,                 1.1795,                 1.3705,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.4339,                 1.4819,                 1.4792,                0.59173,                0.50431,                0.55128,                0.30479,                  1.271,                  1.153,                 1.3537,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.4387,                 1.4931,                 1.4904,                0.53299,                0.41399,                0.46078,                 0.2533,                 1.3177,                 1.2243,                 1.3956,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.4121,                 1.4602,                 1.4651,                0.64523,                0.48167,                0.53003,                0.27328,                 1.3395,                 1.2135,                 1.4063,              0.0013699,              0.0013699,              0.0013699
